N,Proposed,Chebyshev
1,0.021624589650309646,0.018619339453289287
2,0.04789604794350453,0.03432313134835567
3,0.11344693754799665,0.051548474989249374
4,0.15682469594758003,0.06827379159221891
5,0.20671218945644795,0.08555725838814396
6,0.24743117494799663,0.10252428965759464
7,0.2933796020923182,0.12303357495402452
8,0.3431368395104073,0.14566418120230082
9,0.38987927505513653,0.16355602289841045
10,0.41943784585164395,0.18322359394514934
11,0.45350751260411926,0.20187538135214708
12,0.4833735041436739,0.22314099995419384
13,0.5349053436366376,0.24118162909871899
14,0.5918504021596164,0.2613781269930769
15,0.664496651958325,0.2844724479917204
16,0.7120768582506571,0.3059075604047393
17,0.7517001792381052,0.32711338135704865
18,0.810954704156029,0.35433609179162884
19,1.1750329854112351,0.40600625205552204
20,0.776163639704464,0.382463456253754
21,0.8564755644503748,0.40769516250002197
22,0.908824629287119,0.4277592874976108
23,0.8822042770480039,0.4490588645421667
24,0.9927783604012802,0.4680358269979479
25,0.9119771813042462,0.49309115838841533
26,1.0647491458017613,0.5305556354083819
27,0.9875283105648123,0.5483585646055872
28,1.037203868746292,0.5728036312531912
29,1.1936562686954857,0.5926925228093751
30,1.106197014596546,0.6219467542512576
